iter	Passed	Remaining
399	50249	26506
400	50339	26362
401	50454	26231
402	50555	26093
403	50658	25956
404	50765	25821
405	50892	25696
406	50989	25557
407	51106	25427
408	51208	25291
409	51317	25158
410	51438	25031
411	51562	24905
412	51664	24768
413	51771	24635
414	51878	24501
415	51986	24368
416	52104	24240
417	52225	24113
418	52322	23975
419	52425	23841
420	52527	23706
421	52644	23577
422	52761	23449
423	52888	23325
424	53004	23197
425	53117	23067
426	53231	22938
427	53351	22811
428	53476	22686
429	53586	22556
430	53703	22428
431	53814	22298
432	53933	22171
433	54042	22040
434	54161	21913
435	54289	21790
436	54449	21680
437	54581	21558
438	54749	21450
439	54922	21344
440	55051	21221
441	55188	21101
442	55322	20980
443	55511	20879
444	55628	20751
445	55734	20619
446	55845	20489
447	55955	20358
448	56065	20228
449	56177	20099
450	56283	19967
451	56385	19834
452	56494	19704
453	56592	19570
454	56695	19438
455	56802	19307
456	56905	19176
457	57015	19046
458	57110	18912
459	57233	18787
460	57349	18660
461	57468	18534
462	57583	18406
463	57692	18277
464	57795	18146
465	57894	18014
466	58000	17884
467	58109	17755
468	58209	17624
469	58314	17494
470	58421	17365
471	58526	17235
472	58629	17105
473	58752	16981
474	58873	16856
475	58990	16730
476	59099	16602
477	59200	16472
478	59313	16345
479	59412	16214
480	59523	16087
481	59636	15960
482	59751	15834
483	59851	15704
484	59950	15574
485	60066	15449
486	60161	15318
487	60262	15189
488	60362	15059
489	60460	14930
490	60566	14802
491	60672	14674
492	60786	14549
493	60958	14437
494	61077	14313
495	61189	14187
496	61288	14058
497	61395	13931
498	61509	13805
499	61619	13679
500	61730	13553
501	61841	13427
502	61936	13298
503	62040	13171
504	62151	13045
505	62265	12920
506	62380	12795
507	62487	12669
508	62587	12542
509	62677	12412
510	62780	12285
511	62883	12159
512	63014	12037
513	63125	11912
514	63232	11786
515	63346	11662
516	63462	11538
517	63562	11411
518	63681	11288
519	63800	11165
520	63917	11041
521	64040	10918
522	64165	10796
523	64286	10673
524	64395	10548
525	64519	10426
526	64625	10300
527	64730	10175
528	64885	10057
529	65056	9942
530	65158	9816
531	65274	9693
532	65415	9572
533	65561	9453
534	65697	9332
535	65815	9209
536	65926	9084
537	66060	8963
538	66187	8841
539	66340	8722
540	66485	8602
541	66620	8481
542	66764	8360
543	66886	8237
544	67012	8115
545	67129	7991
546	67267	7870
547	67431	7752
548	67571	7630
549	67689	7507
550	67807	7383
551	67952	7262
552	68069	7139
553	68175	7014
554	68275	6889
555	68433	6769
556	68594	6650
557	68710	6526
558	68822	6402
559	68921	6276
560	69050	6154
561	69194	6033
562	69311	5909
563	69429	5785
564	69575	5664
565	69684	5540
566	69794	5416
567	69891	5291
568	69999	5166
569	70105	5042
570	70270	4922
571	70410	4800
572	70532	4677
573	70633	4552
574	70758	4430
575	70911	4308
576	71039	4186
577	71155	4062
578	71278	3939
579	71405	3816
580	71516	3692
581	71686	3572
582	71812	3448
583	71932	3325
584	72040	3201
585	72151	3078
586	72306	2956
587	72465	2834
588	72597	2711
589	72696	2587
590	72826	2464
591	72956	2341
592	73065	2217
593	73172	2094
594	73279	1970
595	73382	1846
596	73510	1723
597	73642	1600
598	73773	1477
599	73879	1354
600	73991	1231
601	74138	1108
602	74252	985
603	74363	861
604	74517	739
605	74651	615
606	74790	492
607	74891	369
608	75023	246
609	75160	123
610	75284	0
