iter	MultiClass
126	0.9848195509
127	0.9843333238
128	0.9838899097
129	0.9834821807
130	0.9830959871
131	0.9825943722
132	0.9820428335
133	0.9816419875
134	0.9811054706
135	0.980603652
136	0.9801581564
137	0.9797292818
138	0.9792446245
139	0.9787017772
140	0.9783552072
141	0.9779790307
142	0.9776390698
143	0.9771919186
144	0.9768226892
145	0.9765081545
146	0.9760515971
147	0.9756719745
148	0.9752601741
149	0.9747556854
150	0.9742344043
151	0.973764249
152	0.973259645
153	0.9728949389
154	0.9722279234
155	0.97163781
156	0.9711993024
157	0.9707074163
158	0.9703723674
159	0.9699889407
160	0.9694493283
161	0.9690596035
162	0.9686921323
163	0.9681738908
164	0.9676542014
165	0.967350397
166	0.9669857594
167	0.9664695992
168	0.966037892
169	0.9654243477
170	0.9650537641
171	0.9647199881
172	0.9643945277
173	0.9637149466
174	0.9633565049
175	0.9628443149
176	0.9625121592
177	0.9622012514
178	0.9616492445
179	0.961218899
180	0.9607392562
181	0.9604243758
182	0.9599882376
183	0.9596023586
184	0.9593509953
185	0.959038385
186	0.9586137955
187	0.9581147341
188	0.9578009773
189	0.9574875734
190	0.9571199128
191	0.9566245552
192	0.9562776373
193	0.9557770332
194	0.9553197124
195	0.9546033766
196	0.953954886
197	0.9534384408
198	0.953054245
199	0.9527722613
200	0.9523213864
201	0.952081742
202	0.9517514594
203	0.9513161105
204	0.9508894276
205	0.9507241686
206	0.9502632879
207	0.9499090892
208	0.949493294
209	0.9491254381
210	0.9487822202
211	0.9483977573
212	0.947799247
213	0.9473219186
214	0.9470047089
215	0.9467979624
216	0.9465756467
217	0.9462423377
218	0.9455197529
219	0.9450480575
220	0.9445417681
221	0.9441057403
222	0.9438217704
223	0.9432424267
224	0.9429106368
225	0.9426310015
226	0.9420858001
227	0.9417174965
228	0.941388506
229	0.9410663405
230	0.9406794635
231	0.9402985148
232	0.9397979423
233	0.9394026441
234	0.9390836434
235	0.9387027198
236	0.9382936731
237	0.9379105802
238	0.937685913
239	0.937467852
240	0.9371336852
241	0.9367362427
242	0.9365044663
243	0.9362382318
244	0.9359388358
245	0.9356750768
246	0.9352717814
247	0.9349522917
248	0.934496398
249	0.9341136519
250	0.9338263481
251	0.9335006901
252	0.9332254807
253	0.9329910128
254	0.9327503655
255	0.9324606739
256	0.9322126874
257	0.9318999542
258	0.9314274555
259	0.9311362606
260	0.9306341047
261	0.930373546
262	0.9301483367
263	0.9297601085
264	0.9292183608
265	0.9288214671
266	0.9283288218
267	0.9280486015
268	0.9278437075
269	0.92749785
270	0.9272116171
271	0.9268997781
272	0.9266603357
273	0.9263227284
274	0.9260581369
275	0.925804776
276	0.9255389987
277	0.9251900223
278	0.9249290971
279	0.9245200148
280	0.9240811968
281	0.9237713016
282	0.9234342843
283	0.9229532152
284	0.9226776465
285	0.9223004624
286	0.9218717268
287	0.9215223831
288	0.9212146294
289	0.9207952037
290	0.9203897001
291	0.9201870062
292	0.9198825205
293	0.919524435
294	0.9190315568
295	0.9187169466
296	0.91854988
297	0.9182193451
298	0.9180030179
299	0.9177409942
300	0.9174393377
301	0.9172316646
302	0.9170122376
303	0.9166778607
304	0.9164478677
305	0.9161117395
306	0.9157907499
307	0.9155441523
308	0.9153118185
309	0.915016616
310	0.9147904506
311	0.9144169397
312	0.9141103262
313	0.9137539128
314	0.913546813
315	0.9133284476
316	0.9130006238
317	0.9127368429
318	0.912469874
319	0.9122830297
320	0.9121352334
321	0.911969252
322	0.9117956395
323	0.9114946956
324	0.9111496447
325	0.9109833936
326	0.9107254927
327	0.9105161996
328	0.910279251
329	0.9100601745
330	0.9097351855
331	0.9095174713
332	0.9093439926
333	0.9090710687
334	0.9086631024
335	0.9083350339
336	0.9081080394
337	0.9078800841
338	0.9076472946
339	0.9073484372
340	0.9069759095
341	0.9068214086
342	0.9066024346
343	0.9061047688
344	0.9058272811
345	0.9055258642
346	0.9053234262
347	0.9049866688
348	0.9047936129
349	0.9046585596
350	0.9042764898
351	0.9040326789
352	0.9038316866
353	0.9036408891
354	0.9033480288
355	0.9029450299
356	0.9026140448
357	0.9023377986
358	0.9020588205
359	0.9017475405
360	0.9015460588
361	0.9013805117
362	0.901006092
363	0.9006566755
364	0.9004319956
365	0.9002138813
366	0.8997801228
367	0.8995129095
368	0.8993200506
369	0.8990350202
370	0.8987090845
371	0.8984483642
372	0.8982542797
373	0.8979217831
374	0.8977378148
375	0.8974790175
376	0.8972706825
377	0.8968901816
378	0.8964711477
379	0.8963391866
380	0.8960905084
381	0.8958100782
382	0.895564636
383	0.895279529
384	0.8947583074
385	0.8944281453
386	0.8940590576
387	0.8938547196
388	0.8935805161
389	0.893239682
390	0.8930712138
391	0.892769818
392	0.89249795
393	0.8922091069
394	0.8920285808
395	0.8917951089
396	0.8915109243
397	0.8912421377
398	0.8908945466
399	0.890608427
400	0.8904397599
401	0.8899540431
402	0.8896442782
403	0.8894316872
404	0.8891964627
405	0.8889272451
406	0.8887222816
407	0.8885201146
408	0.8881582419
409	0.8877415673
410	0.8874851414
411	0.8872435383
412	0.8868641847
413	0.886275516
414	0.886009473
415	0.8857745823
416	0.8854721547
417	0.8852316649
418	0.8849667585
419	0.8847342222
420	0.8843821982
421	0.8840516391
422	0.8839312373
423	0.8837164606
424	0.8834028315
425	0.883200006
426	0.8830313642
427	0.8828147421
428	0.8824782739
429	0.8822644327
430	0.8820520801
431	0.8817211324
432	0.8814547824
433	0.8811832996
434	0.8810599881
435	0.8808001216
436	0.8804704376
437	0.880163193
438	0.8799504057
439	0.8797400709
440	0.8794163648
441	0.8791933209
442	0.8788571056
443	0.8785408521
444	0.8783124159
445	0.8781039581
446	0.8778565568
447	0.8776439319
448	0.8773548606
449	0.8770822827
450	0.8768849559
451	0.8766592374
452	0.8763725809
453	0.8761011474
454	0.8757841396
455	0.8755457951
456	0.8751680123
457	0.8748041037
458	0.8745964645
459	0.8744687648
460	0.8742928784
461	0.8741197957
462	0.8738944957
463	0.8737010523
464	0.873409495
465	0.8733126586
466	0.8731648751
467	0.8729313525
468	0.87272245
469	0.8724181309
470	0.8722765661
471	0.8720296204
472	0.8718708939
473	0.8716480534
474	0.8713617007
475	0.8711929048
476	0.8709550865
477	0.8706376448
478	0.8703790191
479	0.870190485
480	0.8700201553
481	0.8697496482
482	0.8695788882
483	0.8694532476
484	0.8691798503
485	0.8688524385
486	0.8686865057
487	0.8684233241
488	0.8682239811
489	0.8680280544
490	0.8678553023
491	0.8676301985
492	0.8674435878
493	0.8672543115
494	0.8670695556
495	0.8667873999
496	0.8665916565
497	0.8663158033
498	0.8660571512
499	0.8657933815
500	0.865512948
501	0.8653278713
502	0.8650981179
503	0.8649033579
504	0.8647269391
505	0.8645917914
506	0.864328904
507	0.8640146292
508	0.8637648341
509	0.8635102968
510	0.8632704273
511	0.8631120892
512	0.8629476285
513	0.8627779013
514	0.8626268033
515	0.8623751913
516	0.8622214781
517	0.8619741153
518	0.8616559812
519	0.8614627361
520	0.8612274227
521	0.861016177
522	0.8607249882
523	0.8604849963
524	0.860228303
525	0.8600085802
526	0.8598320123
527	0.859628591
528	0.859499177
529	0.8591641291
530	0.8589827258
531	0.8586927658
532	0.8585129512
533	0.858202262
534	0.8580127639
535	0.857701349
536	0.8573009206
537	0.8571671215
538	0.856968831
539	0.8566974825
540	0.8565398496
541	0.8564063561
542	0.8562074236
543	0.8559132169
544	0.855670029
545	0.8553935873
546	0.8552346398
547	0.855008429
548	0.8547864721
549	0.8545915904
550	0.8543344911
551	0.8542024254
552	0.8540107426
553	0.8537211157
554	0.8535667184
555	0.8533375008
556	0.8531753308
557	0.8529729901
558	0.8526846009
559	0.8524342655
560	0.8522167752
561	0.8519859402
562	0.8517254145
563	0.8515535559
564	0.8513556207
565	0.8511851361
566	0.8509285349
567	0.8507178243
568	0.8505083664
569	0.8503123505
570	0.8499705237
571	0.8497535127
572	0.8495726313
573	0.8493548951
574	0.8491776843
575	0.8489462738
576	0.8487707781
577	0.8486452675
578	0.8483841405
579	0.8481926534
580	0.8480372661
581	0.8478764251
582	0.8476991027
583	0.8475389518
584	0.8473442358
585	0.8471688789
586	0.8469263957
587	0.8467452045
588	0.8464106883
589	0.8462716914
590	0.8460688713
591	0.8458600753
592	0.8456046091
593	0.8454294542
594	0.8452562792
595	0.8450881283
596	0.8449547911
597	0.8447940654
598	0.8445237058
599	0.8443184891
600	0.8440672107
601	0.843809459
602	0.8435711
603	0.8433546163
604	0.8431182584
605	0.84278213
606	0.8426013879
607	0.842281413
608	0.8421171124
609	0.8419613696
610	0.8417177705
611	0.8415497256
612	0.8413226657
613	0.8410639424
614	0.8409268897
615	0.8407086804
616	0.8404714116
617	0.8402105699
618	0.8400423633
619	0.8398885324
620	0.839665023
621	0.8393827073
622	0.8391802331
623	0.8390110549
624	0.8388692446
625	0.8387031076
626	0.8385941429
627	0.8383686476
628	0.8382233804
629	0.8380459483
630	0.8378044927
631	0.8376409849
632	0.8374703313
633	0.8373288432
634	0.8371582094
635	0.8370133845
636	0.8368166013
637	0.8365983357
638	0.8363425645
639	0.8360653558
640	0.8358706769
641	0.8356378418
642	0.8354477983
643	0.8353101656
644	0.8350773795
645	0.8348365204
646	0.8346436413
647	0.8344647994
648	0.834227632
649	0.834050733
650	0.833803354
651	0.8336175487
652	0.8334881121
653	0.8333626549
654	0.8331696286
655	0.8329672658
656	0.8327509469
657	0.8324149749
658	0.8322549576
659	0.8320489638
660	0.8318831634
661	0.8316510041
662	0.8314330334
663	0.8312181714
664	0.8308799428
665	0.8305910898
666	0.8303677751
667	0.830163356
668	0.8299480776
669	0.8296944352
670	0.8294255722
671	0.8292746168
672	0.8291426219
673	0.8289687414
674	0.8287665833
675	0.8286138267
676	0.8284280182
677	0.8281780824
678	0.8279950107
679	0.8278020411
680	0.8276381025
681	0.8274209611
682	0.8271920019
683	0.8270573172
684	0.826814089
685	0.8265569968
686	0.8263985929
687	0.8262605153
688	0.8261340977
689	0.8259211453
690	0.8257345204
691	0.8255815673
692	0.8253899333
693	0.8251706587
694	0.8249937289
695	0.8248431034
696	0.8246787052
697	0.824490293
698	0.8243400905
699	0.8240911801
700	0.8238722785
701	0.8236571044
702	0.8234672144
703	0.8232619255
704	0.8230428285
705	0.8228784178
706	0.8227262324
707	0.8225054739
708	0.8223611138
709	0.8221341818
710	0.8219375064
711	0.8217740101
712	0.8214944275
713	0.8212868103
714	0.8210801072
715	0.8208195191
716	0.8206035942
717	0.8203684717
718	0.8201804278
719	0.8199136019
720	0.8196789352
721	0.8194423922
722	0.8192432148
723	0.8189441582
724	0.8187886081
725	0.8185785171
726	0.8184297427
727	0.818273889
728	0.8181153034
729	0.8179245375
730	0.8177391566
731	0.8175433525
732	0.8173904581
733	0.8171832893
734	0.8169535079
735	0.8167825782
736	0.8166014877
737	0.8163269595
738	0.816034687
739	0.8158468621
740	0.8156681508
741	0.8155070106
742	0.8153278371
743	0.8151748487
744	0.8149116627
745	0.8147609572
746	0.814626253
747	0.814392398
748	0.8142445207
749	0.8140842429
750	0.8139427792
751	0.813614344
752	0.8134218188
753	0.813226985
754	0.8130669489
755	0.8128986676
756	0.8127250238
757	0.8124924135
758	0.8123598075
759	0.812187443
760	0.8120215972
761	0.8118439964
762	0.8117147129
763	0.8115704859
764	0.8114215489
765	0.8112400955
766	0.811054439
767	0.8109249146
768	0.8107601379
769	0.8105898551
770	0.8103989276
771	0.810173353
772	0.8100001668
773	0.8098512289
774	0.8096942746
775	0.8094099744
776	0.8092634225
777	0.8091091699
778	0.808973875
779	0.8087895767
780	0.8086597923
781	0.8084615519
782	0.8082283969
783	0.8080809191
784	0.8079314721
785	0.8077323761
786	0.8075354715
787	0.8073822644
788	0.8072534492
789	0.8070899054
790	0.8068382731
791	0.8067068804
792	0.8064619664
793	0.8062141438
794	0.8060499781
795	0.8058616068
796	0.8056882682
797	0.8055281105
798	0.8053774034
799	0.8052065325
800	0.805038625
801	0.8048831935
802	0.8046740005
803	0.8044941484
804	0.8043323135
805	0.804177996
806	0.8039464498
807	0.8037355722
808	0.8035865286
809	0.8034508389
810	0.8032572755
811	0.8030999856
812	0.8029105775
813	0.8027330989
814	0.8025345499
815	0.8023304357
816	0.8020986796
817	0.8018346643
818	0.8017169411
819	0.8015559977
820	0.8014186003
821	0.8012909603
822	0.8010919981
823	0.8008999798
824	0.8007538669
825	0.8006308094
